station_id,name,zone,lat,lon
0,New Delhi,NR,28.613900,77.209000
1,Old Delhi,NR,28.655000,77.230000
2,Ambala Cantt,NR,30.378300,76.776700
3,Ludhiana,NR,30.901000,75.857300
4,Jalandhar City,NR,31.326000,75.576200
5,Amritsar,NR,31.634000,74.872300
6,Mathura Junction,NCR,27.492400,77.673700
7,Agra Cantt,NCR,27.157500,77.991900
8,Pt DD Upadhyaya Jn,ECR,25.450000,83.120000
9,Varanasi Junction,NER,25.331700,82.987600
10,Lucknow NR,NER,26.832000,80.924300
11,Kanpur Central,NCR,26.455000,80.320000
12,Itarsi Junction,CR,22.614000,77.762000
13,Bhopal Junction,WCR,23.259900,77.412600
14,Jhansi Junction,NCR,25.448000,78.568000
15,Gwalior Junction,NCR,26.218300,78.182800
16,Kota Junction,WCR,25.213900,75.864800
17,Jaipur Junction,NWR,26.912400,75.787300
18,Ajmer Junction,NWR,26.449900,74.639900
19,Ratlam Junction,WR,23.334000,75.037200
20,Vadodara Junction,WR,22.310000,73.180000
21,Surat,WR,21.195000,72.819000
22,Mumbai Central,WR,18.971700,72.819400
23,Pune Junction,CR,18.528600,73.874200
24,Nagpur Junction,CR,21.149000,79.089000
25,Balharshah,CR,19.850000,79.350000
26,Secunderabad Junction,SCR,17.439900,78.498300
27,Kacheguda,SCR,17.389800,78.502000
28,Patna Junction,ECR,25.602000,85.137200
29,Gaya Junction,ECR,24.797000,84.999000
30,Dhanbad Junction,ECR,23.795700,86.430400
31,Asansol Junction,ER,23.673900,86.952400
32,Howrah,ER,22.582300,88.342600
33,Kharagpur Junction,SER,22.330200,87.323700
34,Bilaspur Junction,SECR,22.079600,82.139100
35,Raipur Junction,SECR,21.251400,81.629600
36,Rourkela,SER,22.260400,84.853600
37,Tatanagar,SER,22.769700,86.200800
38,Ranchi,SER,23.349000,85.334500
39,Prayagraj Junction,NCR,25.435800,81.846300
40,Bareilly Junction,NER,28.367000,79.430400
41,Moradabad,NR,28.838600,78.773800
42,Saharanpur,NR,29.968000,77.545100
43,Meerut City,NR,28.980000,77.706400
44,Aligarh Junction,NCR,27.897400,78.088000
45,Tundla Junction,NCR,27.200000,78.233000
46,Etawah Junction,NCR,26.776000,79.021000
47,Mughalsarai Yard Ref,ECR,25.450000,83.120000
48,Manmad Junction,CR,20.250000,74.440000
49,Kalyan Junction,CR,19.243300,73.135500
